Прізвище;Ім'я;По-батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Приходько;Охрім;Володимирович;Чоловіча;1999-03-26;Конструктор;місто Тячів;узвіз Світлий, буд. 274 кв. 25, Лебедин, 21979;096 691 91 22;uzhuk@example.org
Забіла;Аркадій;Зиновійович;Чоловіча;2005-12-01;Швачка;місто Овруч;узвіз Центральний аеропорт, буд. 89, Жовті Води, 91273;789 96 70;viktoriiakhmara@example.org
Червоненко;Єлисавета;Даннаівна;Жіноча;1977-12-14;Психолог;хутір Корюківка;площа Гвоздична, буд. 004 кв. 79, Золотоноша, 45020;+380 66 148-20-30;ntverdokhlib@example.com
Овчаренко;Олег;Алевтинович;Чоловіча;1980-02-19;Юрист;хутір Могилів-Подільський;вулиця 9-та Лінія Дачі Ковалевського, буд. 5 кв. 877, П'ятихатки, 32564;+380 63 687-81-41;marianavashchenko-zakharchenko@example.org
Журавель;Валентина;Світланаівна;Жіноча;2001-04-15;Стропальник;село Старокостянтинів;провулок Сонячна, буд. 7, Каховка, 32768;341 41 85;plupii@example.net
Охріменко;Назар;Єфремович;Чоловіча;1970-03-30;Патологоанатом;місто Сватове;вулиця Зелений, буд. 76 кв. 742, Ямпіль, 65449;753 13 65;zartiushenko@example.org
Верес;Ярослав;Соломонович;Чоловіча;1964-05-29;Фольклорист;місто Кам'янка (Черкаська область);набережна Краснослобідський, буд. 095, Жмеринка, 94276;+380 85 204 76 83;marianaartymyshyn@example.net
Баклан;Варвара;Ольгаівна;Жіноча;1971-12-15;Конструктор;місто Ізюм;проспект Штильова, буд. 969 кв. 005, Добромиль, 46762;+380 38 477-05-07;oleh52@example.org
Наливайко;Орест;Романович;Чоловіча;1983-05-11;Юрист;місто Люботин;сквер Байкал тупик, буд. 7 кв. 79, Сквира, 10663;+380 83 181-56-63;kozachenkoivan@example.org
Джунь;Святослав;Миколайович;Чоловіча;2002-05-26;Інженер;село Географія Вільнянська;проспект Сєрогодського, буд. 3 кв. 614, Заставна, 64042;+380 26 939-23-05;veniiamyn56@example.net
Атаманюк;Едуард;Стефанович;Чоловіча;1983-12-17;Державний службовець;місто Миколаїв;вулиця Волоколамська, буд. 9, Білицьке, 80601;+380 85 554 28 41;adam18@example.com
Ґжицька;Данило;Опанасович;Чоловіча;1978-05-07;Географ;село Нікополь;парк Кибальчича, буд. 6, Миколаїв, 24602;+380 10 455-87-21;ivan75@example.net
Приймак;Павло;Вʼячеславович;Чоловіча;1973-12-12;Філолог;місто Новий Калинів;парк Кишинівська, буд. 108, Новоселиця, 11542;092 364 98 95;ievaiashchuk@example.net
Макаренко;Альбіна;Соломіяівна;Жіноча;1981-11-03;Історик;місто Кременець;вулиця Іванова Ігоря, буд. 166, Судак , 50256;837-27-96;leontiidatsenko@example.org
Макаренко;Артем;Францович;Чоловіча;1945-02-20;Машиніст;хутір Саки ;парк Горизонтальна, буд. 59 кв. 941, Берислав, 46306;+380 72 725-66-17;ielysaveta18@example.org
Ґерус;Камілла;Маріяівна;Жіноча;1952-05-31;Доцент;селище Тернівка ;парк Платанова, буд. 38 кв. 07, Часів Яр, 94456;034 662 37 88;milena50@example.net
Ющенко;Валентина;Оксанаівна;Жіноча;1964-04-19;Програміст;хутір Полтава;провулок Лютневий 2-й, буд. 3, Валки , 91107;872 04 25;larysalemeshko@example.com
Авдєєнко;Опанас;Варфоломійович;Чоловіча;2001-06-08;Краєзнавець;місто Калинівка ;сквер Картамишевська, буд. 0, Ямпіль, 84265;190 27 58;zvasylechko@example.net
Венгринович;Ліза;Каміллаівна;Жіноча;1977-08-20;Програміст;селище Угнів;площа Качалова, буд. 690 кв. 210, Чуднів, 75327;+380 (59) 301-34-89;prykhodkostepan@example.org
Литвин;Христина;Василинаівна;Жіноча;1981-10-24;Фрілансер;хутір Бердянськ;провулок Леонова, буд. 8, Кальміуське, 03881;686-47-99;solomon61@example.org
Бандура;Омелян;Веніяминович;Чоловіча;1981-04-05;Агроном;село Сулимівка (Слов'янськ);площа Весела, буд. 8, Ладижин, 21583;496 88 10;snizhanaishchenko@example.net
Худобʼяк;Едуард;Омелянович;Чоловіча;2001-01-04;Ді-джей;хутір Феодосія;провулок Шишкіна, буд. 1, Чернівці, 58888;+380 79 846 31 62;andrii97@example.com
Сіробаба;Борис;Климентович;Чоловіча;1965-06-30;Вчитель;хутір Сулимівка (Слов'янськ);набережна Костанді 2-й, буд. 762 кв. 0, Глиняни, 22054;884 24 56;erika86@example.com
Калениченко;Емілія;Лізаівна;Жіноча;2003-10-31;Електрослюсар;селище Судак ;шосе Ангарська, буд. 693, Білозерське, 35035;+380 17 221-81-31;klyment09@example.com
Чередник;Святослав;Аврелійович;Чоловіча;2006-05-24;Науковець;селище Підгайці;сквер Локомотивна, буд. 7 кв. 8, Червоноград, 67883;+380 76 305-66-92;shmorhunustym@example.com
Слюсар;Єлисавета;Амаліяівна;Жіноча;1945-07-24;Кухар;село Узин;набережна Пересипська 4-та, буд. 358 кв. 8, Гайсин, 71455;+380 (80) 626-26-19;chalaodarka@example.com
Сірченко;Богодар;Пилипович;Чоловіча;1998-02-14;Зоолог;селище Луганськ;площа Розумовський 2-й, буд. 4 кв. 540, Ржищів, 39265;229 49 13;khoma47@example.org
Чуйко;Василь;Гордійович;Чоловіча;1997-12-14;Електрик;хутір Мена ;проспект Пролетарський 3-й, буд. 2 кв. 96, Умань, 86394;098 064-76-22;giemets@example.com
Архипенко;Валентин;Панасович;Чоловіча;1995-02-10;Диригент;селище Севастополь;проспект Харківська, буд. 62, Київ, 19700;+380 (84) 108-35-35;symon25@example.org
Гук;Любов;Терезаівна;Жіноча;1962-12-27;Нотаріус;село Монастириська;вулиця Юннатів 1-й, буд. 04 кв. 1, Молочанськ, 46380;+380 62 617 50 02;zaichenkodan@example.org
Ящук;Варвара;Ярославаівна;Жіноча;1998-02-02;Бібліотекар;хутір Попасна;площа Магнітогорська, буд. 6 кв. 27, Хотин, 97643;+380 53 163 35 48;porlyk@example.com
Гавриленко;Варвара;Клавдіяівна;Жіноча;1939-12-01;Зоолог;хутір Баранівка;проспект Херсонський, буд. 1, Світловодськ, 36807;+380 68 128-27-94;mshvedchenko@example.com
Дейнека;Семен;Леонтійович;Чоловіча;2000-03-08;Провізор;селище Бурштин ;шосе Вапняний 1-й, буд. 8 кв. 027, Городок, 87821;067 308-12-74;hermanvasylashko@example.com
Шеремета;Марʼяна;Еміліяівна;Жіноча;1954-11-28;Кінорежисер;селище Мар'їнка;провулок Шкодова гора, буд. 21 кв. 206, Городище , 63618;664-46-65;valentynapavlychenko@example.com
Данько;Олена;Богданнаівна;Жіноча;2005-08-20;Інженер;хутір Авдіївка;площа Олександра Вронського, буд. 887, Мала Виска, 85644;096 864-57-20;iromanenko@example.org
Кабаненко;Геннадій;Геннадійович;Чоловіча;1996-08-24;Підприємець;хутір Копичинці;парк Історія Футболу, буд. 45, Яремче, 79858;421 00 39;feofan22@example.org
Таран;Ілля;Зорянович;Чоловіча;1949-01-12;Клавішник;селище Скалат;узвіз Травневий 3-й, буд. 1 кв. 136, Ялта, 25835;613 41 48;mykhailiuksymon@example.net
Чала;Артем;Артемович;Чоловіча;1958-03-13;Фізик;село Василівка ;вулиця Рівний, буд. 227 кв. 3, Тячів, 30303;736-75-01;atamaniukklavdiia@example.com
Ковпак;Роман;Миколайович;Чоловіча;1996-02-26;Промисловець;хутір Путивль;площа Наявний 7-й, буд. 6, Коростень, 15235;008 211-18-86;demian87@example.net
Комар;Василина;Марусяівна;Жіноча;1963-12-06;Ріелтор;село Борислав;набережна Західний 3-й, буд. 801 кв. 29, Сміла, 69718;+380 15 422-61-46;davyd40@example.org
Непорожній;Микита;Феофанович;Чоловіча;1958-02-16;Клавішник;хутір Кропивницький;вулиця Хлібна гавань, буд. 0 кв. 945, Гнівань, 65867;+380 (06) 350-36-69;davydgerega@example.org
Артеменко;Орина;Володимираівна;Жіноча;1995-09-20;Астронавт;село Городок;парк Балтський 7-й, буд. 55, Дунаївці, 35587;006 122-53-17;makar91@example.net
Петрик;Болеслав;Глібович;Чоловіча;1976-04-14;Астронавт;місто Ірміно;шосе Різовська, буд. 10, Радивилів, 61834;+380 31 816 59 69;franchuknestor@example.net
Чередник;Йосип;Амвросійович;Чоловіча;1971-07-19;Хореограф;селище Ічня;парк Аркаса Миколи, буд. 9, Севастополь, 06021;438-61-52;martyn47@example.com
Мазур;Дмитро;Давидович;Чоловіча;1973-11-14;Провізор;село П'ятихатки;сквер Пассіонарії, буд. 26, Мала Виска, 55216;809-14-10;lahodastefan@example.net
Пушкар;Борислав;Пилипович;Чоловіча;1997-05-07;Бібліограф;хутір Тлумач;узвіз Гвоздичний, буд. 538, Новоазовськ, 51100;065 776-95-33;liliiababych@example.org
Тичина;Ростислав;Назарович;Чоловіча;1988-02-16;Лікар;селище Соледар;вулиця Академіка Панкратової, буд. 333, Синельникове, 38660;006-30-59;sbazavluchenko@example.org
Деркач;Аліна;Лізаівна;Жіноча;1967-01-26;Вчитель;село Перевальськ;сквер Данила Крижанівського, буд. 0 кв. 9, Вознесенськ, 63271;632 00 89;matiashpavlo@example.net
Артимишин;Аркадій;Захарович;Чоловіча;1967-10-13;Реабілітолог;місто Глухів;узвіз Олександра Кутузакія, буд. 374, Гірське, 37171;+380 66 230-30-89;vadym61@example.com
Власюк;Симон;Андрійович;Чоловіча;2001-04-14;Модель;селище Сніжне;набережна Іванова 1-й, буд. 215, Корсунь-Шевченківський, 84690;+380 04 602-11-04;demian99@example.net
Опанасенко;Йосип;Вʼячеславович;Чоловіча;1984-09-10;Секретар;селище Калуш;проспект Вапняний 1-й, буд. 23 кв. 804, Турка, 36523;302 03 51;frantstverdokhlib@example.org
Засуха;Юстина;Варвараівна;Жіноча;1965-02-20;Палеонтолог;селище Борщів;площа Тополина, буд. 592, Курахове, 67022;+380 67 750 94 34;roksolanaadamenko@example.net
Лаба;Євген;Васильович;Чоловіча;1990-07-03;Кінолог;селище Боярка;проспект Газова, буд. 94, Кремінна, 85585;+380 15 546-57-89;gdrobakha@example.org
Шаблій;Тереза;Людмилаівна;Жіноча;2005-01-31;Водій;селище Овруч;шосе Лобачевського, буд. 0, Моршин, 76344;+380 60 308-18-71;mvalenko@example.net
Швайка;Данна;Ганнаівна;Жіноча;1953-02-24;Локсмайстер;село Синельникове;набережна Восьмого Березня Лінія 1-ша, буд. 0, Кам'янка (Черкаська область), 16014;+380 71 991 37 85;zakharenkoanton@example.com
Данченко;Пріска;Аллаівна;Жіноча;1960-07-15;Машиніст;село Косів;вулиця Благовидової, буд. 4, Біляївка, 80676;054 966-06-32;lutsenkoliudmyla@example.com
Шеремета;Богуслава;Маріяівна;Жіноча;1950-08-28;Каскадер;селище Гребінка;сквер Тепла, буд. 7 кв. 6, Боярка, 73268;+380 47 754 35 44;pavlo86@example.com
Оробець;Еріка;Анастасіяівна;Жіноча;2000-01-27;Єгер;селище Миколаїв;узвіз Ніжинська, буд. 109 кв. 1, Буча, 24714;+380 (05) 340-77-00;viktor25@example.org
Гречаник;Георгій;Хомаович;Чоловіча;1978-05-17;Круп'є;хутір Броди;вулиця Вапняний 2-й, буд. 17 кв. 437, Зимогір'я, 27393;+380 62 680-09-88;okovpak@example.net
Медведенко;Валерій;Алевтинович;Чоловіча;1959-11-24;Астрофізик;хутір Ніжин;шосе Кривобалківська, буд. 9, Сокиряни, 15518;922-07-55;liashkopavlo@example.org
Гоголь-Яновська;Олег;Юстимович;Чоловіча;1985-01-08;Ювелір;селище Голубівка;сквер Аеродромний 2-й, буд. 72, Чорноморськ, 01044;006 690-23-52;khorishkoliubov@example.org
Лазаренко;Антон;Станіславович;Чоловіча;1953-05-31;Будник;місто Сокиряни;набережна Складська, буд. 76 кв. 85, Сокиряни, 71092;+380 12 353 12 86;nverkhovynets@example.com
Дергач;Лесь;Йосипович;Чоловіча;1947-03-28;Психолог;селище Батурин;шосе Совіньйонівський, буд. 051, Вознесенівка, 40173;+380 41 651-60-13;virabezborodko@example.org
Медведенко;Віктор;Демидович;Чоловіча;2003-08-23;Різноробочий;село Подільськ;площа 3-тя Суворовська, буд. 840 кв. 6, Гірське, 73231;+380 31 787-99-21;spas97@example.com
Терещенко;Клавдія;Валентинаівна;Жіноча;1954-02-07;Бібліотекар;місто Городня;проспект Тюльпанний, буд. 41, Березне, 92044;+380 55 363-12-16;zlatoslavamakarenko@example.com
Опанасенко;Маруся;Орисяівна;Жіноча;1959-09-06;Скульптор;село Тлумач;набережна Парковий, буд. 60, Бершадь, 52813;681-20-95;petliuradavyd@example.com
Заїка;Михайло;Спасович;Чоловіча;1976-07-22;Агроном;хутір Трускавець;шосе Український 1-й, буд. 1, Алчевськ, 29255;032 926 03 41;ishchakirena@example.net
Андрієнко;Лесь;Єлисейович;Чоловіча;1995-06-12;Співак;місто Суми;вулиця Крилова, буд. 4, Нове Давидково, 83476;+380 71 236-41-62;adamchukoleksandr@example.com
Теличенко;Анжела;Златославаівна;Жіноча;1973-07-30;Фрілансер;село Сокиряни;шосе Високий, буд. 557, Сторожинець, 78603;+380 (28) 036-46-32;shchyrytsiavenedykt@example.com
Ґерета;Ігор;Августинович;Чоловіча;1997-04-11;Промисловець;село Бібрка;узвіз Косяченка Олексія, буд. 1, Рогатин, 73072;+380 (89) 287-31-03;ielysavetagerus@example.org
Бакуменко;Арсен;Мартинович;Чоловіча;1991-09-17;Будник;місто Мукачево;провулок Лазурний 2-й, буд. 4 кв. 29, Вилкове, 69640;327 05 06;zhuravelpetro@example.org
Радченко;Захар;Леонтійович;Чоловіча;1980-12-14;Мікробіолог;село Нова Одеса;вулиця Лиманчик 2-й Лінія 8-ма, буд. 145 кв. 23, Зимогір'я, 78610;237-41-12;alla48@example.com
Рева;Валентин;Гаврилоович;Чоловіча;1949-07-19;Доцент;місто Олевськ;вулиця Танкерна, буд. 276 кв. 478, Гнівань, 68242;+380 78 265-69-46;shapovalstanislav@example.org
Швачко;Ольга;Вікторіяівна;Жіноча;1953-10-06;Промисловець;селище Білгород-Дністровський;узвіз Шкодова гора, буд. 0, Болехів, 29676;723-90-59;frantsveres@example.net
Гресь;Хома;Парменович;Чоловіча;1958-12-25;Прокурор;селище Щолкіне;вулиця 4-та Суворовська, буд. 8, Ходорів, 86875;+380 31 680-15-01;mykolai44@example.com
Швачко;Златослава;Адаівна;Жіноча;1945-06-13;Археолог;село Судак ;набережна Польовий 1-й, буд. 57 кв. 42, Трускавець, 98926;+380 (84) 038-35-62;ihor00@example.com
Вакарчук;Стефан;Несторович;Чоловіча;1948-08-29;Мірошник;селище Сєвєродонецьк;провулок Дубовий гай, буд. 850, Сулимівка (Слов'янськ), 19290;+380 64 784 12 36;hennadiionyshchenko@example.org
Черненко;Ганна;Терезаівна;Жіноча;1956-02-13;Перекладач;хутір Олешки;парк Садова, буд. 7, Кіцмань, 60525;036 813 63 11;iakivchervonenko@example.net
Хомик;Алла;Оксеніяівна;Жіноча;1975-11-14;Модель;місто Дунаївці;площа Виноградна 1-ша, буд. 8 кв. 9, Молодогвардійськ, 25224;288-39-65;orestdashenko@example.com
Зінчук;Ірина;Галинаівна;Жіноча;2008-08-19;Диригент;селище Гадяч;сквер Крижанівський, буд. 13, Обухів, 96406;013 193-58-80;olutsenko@example.com
Кибкало;Клавдія;Анітаівна;Жіноча;1938-09-29;Гінеколог;місто Кам'янець-Подільський;шосе Сільськогосподарський, буд. 0, Зборів, 26658;+380 56 576-01-17;ilchenkopanas@example.com
Чайка;Георгій;Тимофійович;Чоловіча;1961-07-27;Реабілітолог;селище Костопіль;парк Абрикосовий, буд. 83, Пологи , 74425;800-59-95;dbaida@example.net
Андрійчук;Вікторія;Оринаівна;Жіноча;1985-02-06;Астрофізик;хутір Перевальськ;парк Текстильників, буд. 72, Славута, 18642;034 947 84 94;nadiia98@example.org
Закусило;Станіслав;Миронович;Чоловіча;2001-09-08;Драматург;селище Хрестівка;вулиця Черешнева, буд. 472, Благовіщенське, 33286;318 86 91;avhustynchalenko@example.net
Батіг;Ольга;Клавдіяівна;Жіноча;2000-09-09;Сценарист;село Городок;парк Вєтрогонова, буд. 4, Бахчисарай, 44820;+380 (34) 328-33-09;kbaranyk@example.com
Бабʼюк;Альберт;Панасович;Чоловіча;1950-09-27;Флорист;місто Волноваха;сквер Новощіпний ряд, буд. 0 кв. 06, Рівне, 44853;+380 (60) 764-21-56;nosachenkohryhorii@example.net
Адамчук;Марина;Галинаівна;Жіноча;1987-01-26;Нотаріус;село Устилуг;набережна Іспанська, буд. 1, Вовчанськ, 34942;+380 82 711-01-24;avernyhora@example.com
Андрейко;Вʼячеслав;Онисимович;Чоловіча;2005-04-05;Диригент;місто Щолкіне;проспект Гагаріна, буд. 241, Новогродівка, 46927;005 462-51-12;ostap96@example.net
Артюшенко;Климент;Валерійович;Чоловіча;1956-10-18;Кіноактор;селище Ізмаїл;вулиця Державіна, буд. 49 кв. 2, Лубни, 30324;000 556 59 41;heorhii84@example.org
Іваненко;Лілія;Алінаівна;Жіноча;1992-08-16;Редактор;селище Комарно;набережна Центральна, буд. 034, Армянськ, 96272;089 548-04-41;hlibhohol@example.net
Байрак;Аарон;Юхимович;Чоловіча;1965-10-02;Диригент;місто Снятин;сквер Садова 1-ша, буд. 335 кв. 023, Яремче, 56371;192-11-55;ihor62@example.net
Ґереґа;Лілія;Володимираівна;Жіноча;1998-04-30;Державний службовець;село Угнів;вулиця Станційна 1-ша, буд. 912 кв. 273, Бурштин , 75998;+380 (66) 778-99-91;boleslavvlasiuk@example.com
Демʼянюк;Богданна;Лізаівна;Жіноча;1990-02-28;Складальник;місто Конотоп;сквер Виноградний тупик, буд. 114 кв. 2, Таврійськ, 79290;+380 (75) 983-91-88;bumanets@example.com
Базавлученко;Дмитро;Алевтинович;Чоловіча;1962-01-16;Біолог;хутір Тячів;парк Ялинковий, буд. 4 кв. 80, Рені, 43783;+380 89 104-24-78;ctsushko@example.com
Данилюк;Тарас;Васильович;Чоловіча;2002-01-21;Музикознавець;хутір Чорноморськ;узвіз Дачний 2-й, буд. 810 кв. 000, Мелітополь, 36374;+380 21 529-30-70;sasaula@example.com
Влох;Камілла;Ерікаівна;Жіноча;1958-08-18;Клоун;селище Черкаси;узвіз Варненська, буд. 90, Сімферополь, 06483;+380 57 125 06 77;wdavydenko@example.org
Савенко;Руслан;Костянтинович;Чоловіча;2002-11-20;Футболіст;селище Хрустальний;площа Лінія 26-та, буд. 76 кв. 731, Татарбунари, 64764;+380 (70) 325-26-24;stepankhmara@example.org
Романенко;Альберт;Демʼянович;Чоловіча;1942-05-18;Адвокат;селище Устилуг;проспект Кільовий, буд. 95 кв. 70, Василівка , 99401;+380 (98) 362-84-00;danzakusylo@example.net
Василашко;Марʼяна;Алінаівна;Жіноча;1944-05-13;Кінорежисер;місто Приморськ (Україна);шосе Гастелло, буд. 569, Пустомити, 01922;+380 (76) 346-23-62;hennadii19@example.com
Сірченко;Хома;Глібович;Чоловіча;1996-12-12;Машиніст;селище Бахмут;проспект Хвойний, буд. 05 кв. 335, Христинівка, 33858;094 021-92-51;nestor15@example.net
Твердохліб;Аліна;Оксеніяівна;Жіноча;1972-07-25;Астронавт;село Запоріжжя;провулок Весела, буд. 701, Енергодар, 70596;761 49 44;odarka24@example.net
Негода;Михайло;Данович;Чоловіча;1947-09-03;Літературознавець;селище Тернопіль;узвіз Лесі Українки, буд. 809 кв. 0, Прип'ять , 40531;804 84 32;martynduplii@example.org
Сіробаба;Павло;Васильович;Чоловіча;1996-11-24;Вчитель;хутір Андрушівка;сквер Соляний 6-й, буд. 1 кв. 85, Курахове, 60956;091 990 03 39;albertshvedchenko@example.net
Бандера;Назар;Симонович;Чоловіча;1978-04-19;Агроном;місто Сорокине;проспект Багрицького, буд. 853 кв. 84, Тульчин, 01540;368 13 47;liliia85@example.com
Вовк;Ірена;Міленаівна;Жіноча;1972-09-30;Бізнесмен;місто Географія Вільнянська;набережна ім. К.Г. Паустовського, буд. 419, Сулимівка (Слов'янськ), 02006;+380 (44) 985-78-32;lemeshkovasyl@example.org
Медведенко;Теодор;Валентинович;Чоловіча;1999-06-09;Ґрунтознавець;селище Приморськ (Україна);провулок Дальня, буд. 2 кв. 833, Вилкове, 50514;060-90-51;bvasylevych@example.net
Ільченко;Христина;Пріскаівна;Жіноча;2008-03-15;Мистецтвознавець;село Білгород-Дністровський;вулиця Ялинковий, буд. 85 кв. 1, Авдіївка, 82027;+380 (65) 961-84-06;karpenkoielysaveta@example.org
Кальченко;Леонтій;Лесьович;Чоловіча;1964-08-30;Мінералог;селище Дубляни;парк Вапняна, буд. 4 кв. 897, Дунаївці, 02396;+380 93 347-36-84;mazepaviktor@example.net
Притула;Яків;Романович;Чоловіча;1945-01-13;Кінокритик;селище Армянськ;вулиця Хімічний 1-й, буд. 200, Нововолинськ, 60437;+380 (41) 686-26-91;kolesnychenkostefan@example.net
Затула;Вʼячеслав;Азарович;Чоловіча;1983-05-25;Музикант;село Білицьке;набережна Краснослобідська, буд. 91, Канів, 53764;+380 51 296-06-07;khrystychleopold@example.com
Оніщук;Наталія;Юстинаівна;Жіноча;1958-04-02;Антрополог;місто Кам'янець-Подільський;узвіз Водопровідний 3-й, буд. 6 кв. 515, Тячів, 87702;185 69 43;wsemenchenko@example.net
Туркало;Єфрем;Теодорович;Чоловіча;1952-10-27;Мистецтвознавець;село Березань ;вулиця Сталепрокатна, буд. 9, Золоте, 98261;080 440 07 72;anzhelaabramchuk@example.org
Яремко;Христина;Оксеніяівна;Жіноча;1972-07-01;Перекладач;село Гірник ;парк Москвіна, буд. 1 кв. 47, Мала Виска, 75075;009 053 85 97;mykhailyna71@example.com
Шутько;Гордій;Георгійович;Чоловіча;1977-05-06;Гірничий інженер;селище Сокаль;проспект Іванівська, буд. 489 кв. 551, Вінниця, 56689;+380 (86) 397-95-00;mykolaiatamaniuk@example.com
Баклан;Віктор;Миронович;Чоловіча;1988-02-15;Режисер;село Мелітополь;провулок Тимірязєва, буд. 01 кв. 7, Тульчин, 35635;+380 98 703-30-27;dannapelekh@example.net
Михалюк;Лукʼян;Богданович;Чоловіча;2004-01-24;Паралегал;місто Українка ;вулиця Пересипський узвіз, буд. 100 кв. 761, Березівка, 71743;062 905 84 44;makarenkomakar@example.net
Журба;Альберт;Германович;Чоловіча;1982-07-01;Кінорежисер;хутір Шепетівка;проспект Городня, буд. 402 кв. 5, Рівне, 76431;277 47 83;amaliiakorsun@example.com
Редько;Володимир;Ярославович;Чоловіча;1952-08-20;Громадський діяч;село Хуст;сквер Іванова 2-й, буд. 03, Василівка , 31532;+380 05 627-88-52;pvyshyvana@example.com
Андрусенко;Охрім;Богданович;Чоловіча;1994-02-18;Прокурор;місто Харцизьк;площа Слави, буд. 884 кв. 9, Лозова , 39289;001 930-49-51;shchyrytsiaoleksandr@example.com
Шевченко;Пантелеймон;Олегович;Чоловіча;1939-07-21;Актор;селище Зоринськ;проспект Сєрогодського, буд. 510, Білопілля, 83509;+380 92 598-67-65;kyrylenkoklavdiia@example.com
Міщенко;Ада;Світланаівна;Жіноча;1968-12-24;Лікар;село Хрестівка;парк Рибальська, буд. 8 кв. 91, Довжанськ, 59726;+380 08 453-96-37;valentynhrechanyk@example.com
Євтушок;Марія;Галинаівна;Жіноча;1952-09-01;Державний службовець;село Суходільськ;узвіз Військовий узвіз, буд. 294 кв. 862, Мена , 27745;+380 (50) 871-01-58;hannasheremet@example.net
Демʼяненко;Валентин;Вікторович;Чоловіча;1964-04-09;Штукатур;селище Вознесенівка;проспект Морехідний, буд. 9 кв. 78, Кремінна, 16448;+380 72 558-39-52;zshelest@example.net
Батуринець;Дарина;Анітаівна;Жіноча;1975-11-15;Будник;місто Тячів;площа Героїв Крут, буд. 042, Винники, 85367;094 276 70 75;hordiishakhrai@example.com
Перебийніс;Олександр;Соломонович;Чоловіча;1993-12-12;Мікробіолог;хутір Хорол ;проспект Восьмого березня 1-й, буд. 81 кв. 316, Кам'янка-Дніпровська, 27934;600-68-09;borys37@example.com
Ященко;Адам;Мирославович;Чоловіча;1973-08-11;Водій;селище Прилуки;набережна 1-ша Суворовська, буд. 957, Вугледар, 09627;061 42 19;iaroslavafranchuk@example.org
Гоголь;Ірина;Марʼянаівна;Жіноча;1960-06-06;Фотограф;місто Борислав;набережна Люстдорфська дорога, буд. 2, Куп'янськ, 32492;+380 39 152 00 66;mykytiukviktor@example.net
Шиян;Степан;Іванович;Чоловіча;1954-03-10;Державний службовець;село Родинське;проспект Строганова, буд. 7 кв. 6, Дружківка, 20396;+380 31 964 19 80;anzhela07@example.net
Луценко;Ольга;Ольгаівна;Жіноча;2001-12-26;Мікробіолог;місто Красногорівка;площа Рівний, буд. 53, Олешки, 50886;073 614 69 41;ftsarenko@example.net
Іваничук;Сніжана;Віраівна;Жіноча;1991-12-26;Доцент;хутір Болехів;провулок Люстдорфський, буд. 285, Глиняни, 61252;+380 45 657-28-45;pylyp34@example.org
Валенко;Панас;Феофанович;Чоловіча;1981-10-14;Футболіст;селище Монастириська;шосе Черешнева, буд. 14 кв. 319, Перемишляни, 98046;075 232 53 60;tshvaika@example.net
Атаманюк;Клавдія;Анітаівна;Жіноча;1995-03-19;Астроном;село Знам'янка;вулиця Спартаківська, буд. 9, Костянтинівка, 54190;+380 07 165-00-11;halynaakulenko@example.net
Носаченко;Володимира;Віраівна;Жіноча;1984-08-23;Мовознавець;хутір Підгородне;узвіз Леонова, буд. 774 кв. 805, Миколаївка , 94275;+380 94 267-62-52;huzvolodymyr@example.net
Єременко;Азар;Азарович;Чоловіча;1943-01-14;Паблік рилейшнз;місто Дубно;площа Карантинний узвіз, буд. 7 кв. 219, Зимогір'я, 78095;+380 29 226-62-94;heorhii46@example.net
Ляшко;Альберт;Германович;Чоловіча;1942-11-12;Музичний редактор;селище Бібрка;набережна Йосипа Тимченка, буд. 8, Южне, 89528;815 15 41;ldatsenko@example.org
Гунько;Федір;Борисович;Чоловіча;1991-05-13;Астронавт;хутір Виноградів;площа Івана Микитенка, буд. 187, Малин, 33834;+380 (93) 384-06-79;kdemianchuk@example.org
Вакарчук;Віолетта;Софіяівна;Жіноча;1956-03-19;Драматург;місто Немирів;парк Миколи Огренича, буд. 630, Ананьїв, 60945;+380 06 849 75 91;jshvachka@example.org
Андрейко;Володимир;Сергійович;Чоловіча;1975-12-10;Головний меркшейдер;селище Заліщики;набережна Ванний, буд. 125, Тлумач, 71708;+380 29 145-52-17;labaiustyna@example.net
Матвієнко;Демид;Аврелійович;Чоловіча;1973-06-20;Модель;селище Дунаївці;шосе Економічний, буд. 0 кв. 75, Заводське, 57116;+380 45 147-20-16;petrenkonadiia@example.org
Семенченко;Панас;Ігорович;Чоловіча;1951-10-30;Золотар;місто Бахчисарай;шосе Центральний аеропорт, буд. 91 кв. 255, Буча, 36251;040 124 24 92;szasenko@example.org
Свистун;Валерій;Йосипович;Чоловіча;1956-01-20;Флорист;місто Могилів-Подільський;парк Героїв Небесної Сотні, буд. 37, Павлоград, 32990;+380 31 818-70-34;nadiia97@example.net
Дрозденко;Лукʼян;Вʼячеславович;Чоловіча;1961-06-22;Письменник;хутір Токмак;набережна Альпіністів, буд. 746 кв. 2, Кам'янка-Дніпровська, 28671;064-71-49;onysymkhomyk@example.net
Черненко;Марта;Терезаівна;Жіноча;1984-08-08;Графік;село Алчевськ;узвіз Бокаріуса Миколи, буд. 4 кв. 08, Залізне, 10996;074 189 88 72;wbabarychenko@example.com
Шморгун;Пріска;Розаліяівна;Жіноча;1995-12-14;Візажист;місто Підгородне;проспект Разумовська, буд. 0, Городенка, 79642;+380 (96) 653-73-04;bohdan90@example.com
